file,n_ac
132D,0
165D,0
1BN9,0
1DN3,15
1BH7,31
1CBH,36
1AB1,49
1CEU,51
1RDV,52
1BW6,56
1A1U,58
1A93,64
1PFB,65
1AZP,66
1B0X,72
1OGW,74
1A1K,85
4N6J,88
1TEN,89
1GQ4,90
1G9O,91
1GQ5,91
1TNM,91
4DND,93
1I92,95
1PDR,96
4XAL,97
1FKC,107
1SHA,107
2OYZ,107
1BHF,108
1BJ8,109
4BGC,111
5DRH,111
1AAP,112
4CAH,112
4QSY,112
1N4J,113
1AAL,115
1NPU,116
1MDI,118
1D7E,119
2ICC,119
1B6E,121
1IRS,122
1BCI,123
2HSB,123
1AGI,125
1DDF,127
1M8A,127
2QKH,128
3C59,128
2N2F,130
1TOU,131
1GTW,132
1BBN,133
1IRL,133
1B3A,134
1A3K,137
2X4W,137
1B68,138
4NLL,138
1EJ8,140
1XQ8,140
3R0N,143
1M3G,145
4FH1,145
1ALY,146
1PXD,149
2L87,150
1ILK,151
1GYJ,152
1AEP,153
4UDV,153
1B34,154
1ALU,157
1B0O,161
2FG9,162
5K26,164
121P,166
1BUY,166
2XJY,166
1FXL,167
1HA1,167
1914,171
5HA6,173
1BRP,174
1U3E,174
1DUX,176
1G8Q,176
2RI7,177
1CYN,180
2N0B,180
1VP8,183
1J42,185
4EOT,186
2O7T,187
1A64,188
1KTZ,188
1QYB,190
1TJC,190
2CSA,190
2E4F,191
2JIL,194
1HCN,195
3HXT,195
1A13,196
4ERV,196
1BNK,200
1N6T,200
1PSR,200
5APA,201
2HDO,202
2XB1,202
1KUG,203
1QQ0,208
1BQS,209
1FB0,209
1IF1,209
1WOJ,209
4F80,209
1BMC,213
1BYQ,213
2BRQ,213
1DVE,214
2IPX,215
1HUL,216
1AYA,217
1B0F,218
2GK2,220
2HCF,223
4OY9,223
4NLH,225
1A6U,228
1BIO,228
1IPI,228
5NAZ,228
2CBZ,230
1FCX,235
3DSH,236
2G4I,237
2FXM,238
1CSG,240
1D9C,240
1MPV,240
1Q0S,241
4MZV,242
1DPB,243
1GUA,243
2FUC,243
4AUP,243
1R28,244
1AB9,246
4JZL,246
1AVD,247
1DB1,250
5MKW,250
3LLI,251
1C1Y,254
2V1Y,254
2FH9,255
1AG0,256
1AQC,256
1FOC,256
4XSJ,256
1AZM,258
2QPY,258
1AYO,260
1B5Z,260
1S4J,260
2FBS,260
3NOI,260
1MQ4,261
1YOK,261
3WSR,261
2BV1,264
1W28,272
3D5H,272
1BO4,273
1EG4,273
1A8Q,274
1DQV,275
3FO8,278
1A7J,279
3FDX,280
5JBT,280
2QNK,281
1M4R,283
1OV3,283
1TNR,283
1OZN,284
4P3E,284
2REI,287
1EM9,288
1G2L,290
4TQ1,290
1A2F,291
1H6T,291
1C5M,293
1CSN,293
1C3D,294
2EVA,295
1LCY,296
4JMK,296
1A87,297
1F42,297
2QLU,297
1RJB,298
1N26,299
1T0J,299
1AZV,306
1ANP,308
2YDO,309
3K51,310
1X0J,312
1AM9,313
1GAG,313
1DRT,315
1GKC,315
2FYT,315
2RFJ,315
1NJA,316
1EB7,317
1IAR,317
2QQJ,317
4RA4,317
1EXT,318
2WO3,318
1DPK,320
1M5X,322
1CM0,323
1B0W,324
1VZO,324
3MVA,325
3PV6,326
10MH,327
1A8E,329
1D8U,330
1G0Y,331
1HJQ,332
3MHY,335
1DJS,336
1TZS,336
1G1S,337
1A8Y,338
2QCV,339
1H7N,340
2BQZ,340
1CA7,342
3GE5,348
1HUV,349
1EFY,350
2EU9,350
1A9U,351
1LEW,351
3TX8,354
1EXU,355
1BQQ,358
1O5E,358
4E7W,359
1DS6,360
4O64,360
5FB0,360
1CQP,364
3V71,365
1AS4,369
1GA4,369
3GHM,369
1DJL,370
1W55,370
2GHQ,370
2OM5,371
1A22,372
1DTN,372
1ES0,372
1HSB,372
1A7C,374
1AO3,374
1ATU,374
4IB4,375
3BN3,376
1ES7,377
1A6A,378
1BHO,378
3EAF,379
3GDQ,380
1DBF,381
3CGG,381
4O2C,382
1AGB,383
1BP3,383
1AI9,384
1JK8,385
1XR8,385
4MD4,385
6CPL,385
1A1M,386
1LGB,386
1FL7,387
1PT6,387
1FZJ,390
2QMM,390
1H30,391
3LV3,391
4XEM,391
1PK6,394
6MT4,398
1M4E,400
1AOX,402
3VCL,403
1JDN,407
3ICA,409
4O3F,409
3ME5,410
1BV4,412
1IU8,412
1A0Q,416
1VYQ,418
4M7C,419
1IYT,420
1FXW,423
2ZFU,423
3MWL,423
1BAG,425
4Q28,426
5XXD,426
2XOZ,429
1A8J,430
1SM3,430
1GIG,431
2B2T,431
1Z3S,432
1AXT,434
3BKW,437
2HKF,438
3CXD,438
3UON,438
2H32,439
5EQX,439
1AQK,440
1CFG,440
1EO2,440
1HCF,444
1Y6L,444
3BIK,446
1G61,450
1GK4,450
1B08,451
1OMI,451
1UHL,452
3DFU,455
1A31,457
2PKE,458
4ZLP,459
2YAD,463
2JJS,467
1TQN,468
2FK3,470
1IGR,471
6BZR,473
1GKB,474
2OBD,474
1AUK,480
2F5K,483
1AGJ,484
1.00E+77,485
3HK4,489
1GK5,490
1C0F,494
1YBW,494
1AG1,498
1FPO,499
4JKQ,499
1A28,500
3SOP,500
5J11,500
1CSB,504
1YH3,504
1EKU,506
1KZQ,506
3G9W,506
3K3L,507
3WXV,509
3WXW,509
1I8H,510
2PQG,510
2QIW,517
4ITH,518
1JCZ,520
3HX8,524
3TCH,524
1HYR,527
1EXZ,528
4TNB,529
1DAB,539
5TL5,539
1GWB,541
1AUI,543
1AKN,547
1AGW,550
4GDX,555
1IAT,556
5VAK,558
1WD8,559
4HT1,559
1ADX,560
2WOK,561
2OOQ,562
2IVS,563
1PKG,567
1BUW,568
1HBX,569
1GHQ,570
2WW4,571
1HDS,572
3EFM,572
1COH,574
1HDB,574
2QEP,575
1A3A,576
2FH7,576
1CZZ,577
1F7B,580
1JJZ,580
3L5H,585
1H3I,586
2P4E,586
2I1Y,587
2L9I,588
1CN4,589
1AWH,590
1D5M,590
1EAW,594
1B41,598
1FVR,599
1K9O,599
1T5Q,600
1APY,604
1F6A,606
3ZOS,609
1B4F,613
1YO8,616
3DI2,616
3BPN,620
1DOR,622
1.00E+51,625
1QG9,630
4M8Z,636
4HJL,638
1ADQ,644
5TX7,645
1RJI,651
2XWT,662
2QHA,672
6AL5,672
3K2O,673
1II6,675
3RAO,678
1B8D,683
1CZD,684
1J8D,692
6B1L,695
2K58,700
2QAG,702
3AN2,702
4TVS,704
1KJY,707
1DTW,708
4NKQ,708
2E4M,713
1F9C,720
1IYC,720
1KUP,720
3UX9,720
1ZB1,734
3JSJ,736
1D8D,741
1A6Z,742
1KYV,747
2D31,747
4NFT,748
1XX9,749
1CKL,756
1EE0,756
1KX4,757
1KPR,766
1HSA,768
1Q94,768
2CLR,770
2GT9,770
2GL8,771
4WWI,774
1FV1,775
1SCY,775
2IWG,776
1CL1,781
1D0G,781
5UNF,785
1IE7,790
1FKN,792
2FD6,797
1A6B,800
1AV1,804
1AXC,804
1YK1,809
1FYT,810
3LFH,814
2V1D,815
3ZXU,817
1A88,825
1T09,828
2K44,840
2XMQ,843
1H4L,850
5Z55,850
3D85,854
6BDZ,855
1BZY,856
1QBA,858
1FG9,862
1D5B,864
1QZ2,865
1A4J,868
1F11,868
4C57,870
1AD5,874
1UNC,875
5UZP,876
2KB9,880
1EQZ,883
1QZP,884
2ZPK,887
4DJH,895
4J2B,901
6B19,907
3FM8,911
2K1K,912
1L0X,914
1BBR,915
3B5Q,919
3E4E,923
4GQB,937
1D3B,946
5G53,948
1IM9,963
3L43,965
3D1N,969
2YL2,972
4CNU,976
5I6X,976
3D9S,978
1APF,980
1FB1,980
1D3I,989
1A7F,1000
2OKJ,1003
1BZG,1020
4ZJS,1028
1B09,1030
1G3J,1036
1BJ1,1050
3HO5,1051
1CIX,1056
2CR8,1060
2MKP,1060
3EBB,1065
1JEQ,1068
1F6U,1100
1IVO,1115
1M6B,1133
1BML,1136
3BQB,1137
1CXP,1138
3D2U,1143
1CA9,1148
1HVY,1148
1V7M,1148
1X6V,1150
1AO6,1156
4K3J,1164
1A4Y,1166
5LSJ,1177
1P1A,1190
1DXR,1191
1CB9,1200
2G31,1200
3D66,1203
1GBN,1206
3V6O,1224
1HQZ,1226
2AHX,1226
3LOT,1233
1OLZ,1242
1Z9E,1245
1AHW,1256
1BQH,1256
1WJI,1260
1MWT,1261
1SM9,1276
1K9I,1283
1ADN,1288
1H4O,1288
1MW4,1290
2PMV,1290
3UPU,1297
1V66,1300
2LY4,1300
1QGD,1324
2ZW9,1330
1FJ1,1354
1LI1,1359
4JZJ,1368
1IGA,1378
2M7Q,1380
1PL6,1404
1FZA,1414
2M2E,1420
5EWJ,1421
2J2S,1440
1HJV,1448
6HRA,1449
5XL2,1456
1I0E,1460
1U5M,1460
1BVS,1464
1F9E,1470
1CFA,1480
2EWY,1496
2CKC,1500
2DRN,1508
1HGD,1509
1AQD,1514
1A81,1518
1UJY,1520
1BQ0,1540
2P10,1564
1AFO,1600
