file,n_ac
4V6X,13338
1VVJ,11570
4PJ1,8783
2KTY,7200
2K8P,6804
4D5Y,6548
1QO5,6311
4R3O,6286
6G18,6060
3JCS,5862
1A9X,5744
4D61,5641
1BA9,5508
1CX8,5112
1XFB,4104
3MUY,4044
1A2V,3924
1KV3,3906
5JLH,3884
1F16,3840
2LHL,3720
1MGS,3650
1I3Q,3542
2KR6,3520
1MQ1,3502
3LPO,3480
6A3V,3342
1MX1,3187
1ILP,3160
6CDU,3140
2EBZ,3100
1AI0,3060
1MKE,3024
6GFF,2953
4OMC,2810
3CW1,2809
3V4P,2772
1WFM,2760
2MJV,2760
1I10,2642
2YKR,2632
2RVQ,2620
1WLX,2580
5TBY,2528
2D85,2480
1EQ3,2400
4A5W,2399
4F7B,2333
1AA1,2240
1AB2,2180
1T5A,2076
1B33,2054
2VXS,2043
1A4S,2012
1UKL,1984
2N3J,1960
2G47,1951
1C9B,1935
2GSE,1901
2ID5,1886
3RUK,1877
2VD6,1853
2C4K,1830
6C23,1822
2EJY,1820
2F9Q,1810
5NB0,1805
1BG3,1804
3HL2,1790
1DIO,1734
1OQD,1734
1B6C,1732
1A67,1728
2PSN,1728
1NSI,1680
13PK,1660
4P4K,1644
2KLR,1640
2WBJ,1635
1W72,1632
1DQ8,1631
3FBY,1605
4QMG,1600
1HTZ,1578
1BHW,1568
6N88,1566
1U8C,1526
3COS,1520
1A81,1518
1AQD,1514
4X96,1500
2EWY,1496
1CYU,1470
1F9E,1470
1GY8,1467
1BVS,1464
1I0E,1460
1X59,1460
1J2E,1458
1NW4,1458
6H02,1457
1ADO,1452
1HJV,1448
1LQ8,1431
1C16,1430
1EPX,1428
1EVU,1422
5EWJ,1421
1FZA,1414
1PL6,1404
1A4L,1396
6DJP,1393
2LBF,1390
3QX3,1381
1BOS,1380
4JZJ,1368
1JG8,1367
4WRN,1356
2XSN,1347
1U8F,1337
1H4I,1336
1NI4,1334
3S2K,1298
1MWT,1261
1AHW,1256
1BQH,1256
3RJ3,1248
1OLZ,1242
3W81,1232
3V6O,1224
1B5S,1210
2ZW3,1206
3D66,1203
1AMO,1202
1HI7,1200
1C4Z,1194
6E3Y,1194
5LSJ,1177
1A4Y,1166
1AO6,1156
3FE1,1154
6C0V,1154
1KKQ,1152
1CA9,1148
1HVY,1148
1V7M,1148
3D2U,1143
1CXP,1138
1M6B,1133
1IVO,1115
1DQR,1110
5F3B,1101
5VEB,1084
1BKH,1078
3N9Y,1077
1JWH,1075
1JEQ,1068
3HO5,1051
1G3J,1036
1D01,1032
1B09,1030
4ZJS,1028
2OKJ,1003
1D3E,989
2ACX,987
1FB1,980
2DKA,980
3D9S,978
3OAI,976
5I6X,976
1BZL,969
1AKM,966
3L43,965
1IM9,963
4BKN,962
5G53,948
1D3B,946
1GD8,945
3DLJ,938
5FBH,938
4GQB,937
6C0W,925
3E4E,923
1BBR,915
2OSL,913
1BU7,910
4FYQ,903
1BD3,896
4DJH,895
2ZPK,887
1FUJ,884
2XSX,881
5UZP,876
1AD5,874
4C57,870
1TE6,867
1QZ2,865
1FG9,862
1XWD,862
5IJ0,856
6BDZ,855
3D85,854
1GXS,850
1H4L,850
2XMQ,843
1T09,828
1A88,825
1BW0,823
1AAT,822
2F53,821
